Id,Name,HealthPoint,BasicAttack,ExpGained,MoveSpeed,AttackSpeed,SkillKeyIds,EffectKeyIds
101,TreeSpirit,20,1,1,65,1,0,10000
102,Mushroom Spirit,22,1,1,65,1,0,10000
103,DeadTreeSpirit,31,2,1,75,1,0,10000
104,GreenTreeSpirit,35,2,3,75,1,0,10000
105,BlueMushroomSpirit,46,3,3,75,1,0,10000
106,BlueOldTreeSpirit,51,3,3,85,1,0,10000
107,DarkTreeSpirit,65,4,6,100,1,2107,10000
108,DarkMushroomSpirit,76,4,6,100,1,2108,10000
109,DarkOldTreeSpirit,83,5,6,115,1,2109,10000
110,FlameTreeSpirit,100,5,9,115,1,2110,10000
111,FlameMushroomSpirit,124,6,9,135,1,2111,10000
112,FlameDeadTreeSpirit,133,7,9,145,1,2112,10000
113,EliteKnight,199,8,15,155,1,2113,10000
201,ForestSpirit,40,5,1,80,1.5,2201,10000
202,MutantMushroom,44,5,1,80,1.5,2202,10000
203,100YearOldTree,62,10,1,85,1.5,2203,10000
204,SwampSpirit,70,10,1,85,1.5,2204,10000
205,MoldyMushroom,92,15,1,100,1.5,2205,10000
206,MutantOldTree,102,15,1,100,1.5,2206,10000
207,DarkSpirit,130,20,2,120,1.5,2207,10000
208,ClownMushroomzSpirit,152,20,2,120,1.5,2208,10000
209,AnOldTreehatHasLostItsLight,166,25,2,140,1.5,2209,10000
210,SpiritOfFlame,200,25,2,140,1.5,2210,10000
211,FieryMushroom,248,30,2,155,1.5,2211,10000
212,BurningOldTree,266,35,3,155,1.5,2212,10000
213,KnightMaster,398,40,3,175,1.5,2213,10000
214,Balkand,500,50,100,185,1.5,2214/2215/2216,10000
301,BlackWerewolf,500,30,100,150,1.5,2214/2215/2216,10000
